airport_key,airport_code,city_name,state_code
10849,BZN,"Bozeman, MT",MT
10466,AZA,"Phoenix, AZ",AZ
12265,IAG,"Niagara Falls, NY",NY
10581,BGR,"Bangor, ME",ME
10561,BFL,"Bakersfield, CA",CA
10434,AVP,"Scranton/Wilkes-Barre, PA",PA
10185,AEX,"Alexandria, LA",LA
10146,ABY,"Albany, GA",GA
14843,SJU,"San Juan, PR",PR
14685,SAV,"Savannah, GA",GA
10739,BRD,"Brainerd, MN",MN
14256,PSG,"Petersburg, AK",AK
12945,LEX,"Lexington, KY",KY
12339,IND,"Indianapolis, IN",IN
11973,GPT,"Gulfport/Biloxi, MS",MS
15389,TWF,"Twin Falls, ID",ID
12129,HIB,"Hibbing, MN",MN
12335,IMT,"Iron Mountain/Kingsfd, MI",MI
10631,BJI,"Bemidji, MN",MN
12478,JFK,"New York, NY",NY
11252,DAB,"Daytona Beach, FL",FL
10990,CHO,"Charlottesville, VA",VA
11525,EKO,"Elko, NV",NV
10275,ALW,"Walla Walla, WA",WA
13485,MSN,"Madison, WI",WI
12896,LBB,"Lubbock, TX",TX
12012,GUC,"Gunnison, CO",CO
15411,TYR,"Tyler, TX",TX
10551,BET,"Bethel, AK",AK
12992,LIT,"Little Rock, AR",AR
10620,BIL,"Billings, MT",MT
14543,RKS,"Rock Springs, WY",WY
15048,SUX,"Sioux City, IA",IA
14100,PHL,"Philadelphia, PA",PA
10676,BLV,"Belleville, IL",IL
12206,HRL,"Harlingen/San Benito, TX",TX
15356,TTN,"Trenton, NJ",NJ
12402,ITO,"Hilo, HI",HI
14842,SJT,"San Angelo, TX",TX
10747,BRO,"Brownsville, TX",TX
11092,CNY,"Moab, UT",UT
13851,OKC,"Oklahoma City, OK",OK
13232,MDW,"Chicago, IL",IL
10685,BMI,"Bloomington/Normal, IL",IL
14113,PIH,"Pocatello, ID",ID
11076,CMX,"Hancock/Houghton, MI",MI
15991,YAK,"Yakutat, AK",AK
11997,GST,"Gustavus, AK",AK
16422,GUF,"Gulf Shores, AL",AL
