route_key,origin,dest,origin_airport_key,dest_airport_key
DFW-CID,DFW,CID,11298,11003
SHV-DFW,SHV,DFW,14814,11298
MIA-TLH,MIA,TLH,13303,15249
ORD-MKE,ORD,MKE,13930,13342
EYW-MIA,EYW,MIA,11624,13303
ORD-LIT,ORD,LIT,13930,12992
CVG-MIA,CVG,MIA,11193,13303
DCA-CMH,DCA,CMH,11278,11066
DRO-DFW,DRO,DFW,11413,11298
IAH-ORD,IAH,ORD,12266,13930
TRI-DFW,TRI,DFW,15323,11298
LSE-ORD,LSE,ORD,13076,13930
FSM-DFW,FSM,DFW,11778,11298
GRB-ORD,GRB,ORD,11977,13930
MLI-ORD,MLI,ORD,13367,13930
GSO-MIA,GSO,MIA,11995,13303
FSD-ORD,FSD,ORD,11775,13930
SJT-DFW,SJT,DFW,14842,11298
MIA-GSP,MIA,GSP,13303,11996
LIT-ORD,LIT,ORD,12992,13930
BIL-PHX,BIL,PHX,10620,14107
SYR-MIA,SYR,MIA,15096,13303
PSP-AUS,PSP,AUS,14262,10423
ELP-AUS,ELP,AUS,11540,10423
BNA-AUS,BNA,AUS,10693,10423
MSN-ORD,MSN,ORD,13485,13930
MAF-DFW,MAF,DFW,13158,11298
DFW-DAY,DFW,DAY,11298,11267
ORD-MEM,ORD,MEM,13930,13244
ORD-BDL,ORD,BDL,13930,10529
ORD-HPN,ORD,HPN,13930,12197
TYS-ORD,TYS,ORD,15412,13930
ORD-PIA,ORD,PIA,13930,14108
CHA-DFW,CHA,DFW,10980,11298
DFW-BIS,DFW,BIS,11298,10627
MIA-GRR,MIA,GRR,13303,11986
MIA-SYR,MIA,SYR,13303,15096
ORD-MSN,ORD,MSN,13930,13485
TUL-ORD,TUL,ORD,15370,13930
AUS-RNO,AUS,RNO,10423,14570
ORD-AVP,ORD,AVP,13930,10434
ORD-DSM,ORD,DSM,13930,11423
TPA-RDU,TPA,RDU,15304,14492
AUS-OKC,AUS,OKC,10423,13851
DFW-LFT,DFW,LFT,11298,12951
HSV-DFW,HSV,DFW,12217,11298
