year,departure_period,scheduled_flights,eligible_arrivals,delay_rate
2023,Afternoon,786525,770245.0,0.28312939389415054
2023,Evening,576796,563493.0,0.30506501411730047
2023,Midday,791563,778926.0,0.22066281007438449
2023,Morning,1083247,1066669.0,0.1457321812108536
2023,Overnight,102438,100626.0,0.10619521793572238
2024,Afternoon,832078,816573.0,0.28585686766523016
2024,Evening,577424,566013.0,0.3007952114174056
2024,Midday,817817,805017.0,0.21832333975555795
2024,Morning,1125419,1109010.0,0.1423548931028575
2024,Overnight,108581,106852.0,0.10615617863961367
2025,Afternoon,820964,804605.0,0.29065193480030577
2025,Evening,569762,556685.0,0.2966740616327007
2025,Midday,822668,809775.0,0.21785557716649687
2025,Morning,1123183,1106768.0,0.14003567143249535
2025,Overnight,110099,107989.0,0.10091768606061728
2026,Afternoon,829212,807249.0,0.29037880505271607
2026,Evening,575448,557786.0,0.2979386359643304
2026,Midday,826770,808828.0,0.22633118536944813
2026,Morning,1153222,1127498.0,0.14167918701407897
2026,Overnight,103721,101260.0,0.09206004345249852
